nombre;precio_normal;precio_promocional;precio_CMR;descuento;paginacion
Celular Samsung A20s Octa-core 32gb Ram3...;$ 729.900;$ 609.310;null;-16%;2
Moto E6 S 32GB;$ 499.900;$ 419.900;$ 379.900;-16%;
Apple IPhone 7 Plus 32GB-Negro Mate;$ 2.000.901;$ 1.255.900;null;-37%;2
Reloj Inteligente Smartwatch Cámara Noti...;$ 310.598;$ 252.900;null;-18%;?
Teléfono celular Bmobile K401 Negro;null;$ 89.900;$ 79.900;null;3
Apple iPhone 6SP(16GB)  Oro;$ 1.802.300;$ 1.288.712;null;-28%;13
Apple iPhone 7P(128GB)  Oscuro;$ 2.601.592;$ 2.218.595;null;-14%;?
PIM11 Camiseta hombre bike explosion mod...;$ 30.000;$ 13.500;null;-55%;11
Celular Samsung Galaxy A51 128 GB 4 GB R...;null;$ 1.244.900;null;null;5
Memoria Micro Sd Adata 128 Gb 100 Mb/sg...;$ 105.000;$ 95.600;null;-8%;3
OUKITEL U7 Plus Teléfono Móvil Android 6...;null;$ 387.000;null;null;6
CELULAR + COMPUTADOR +MOUSE + TECLADO Ac...;$ 1.900.000;$ 890.000;null;-53%;?
IPhone 11 128gb Negro/Black Unlocked;$ 4.959.000;$ 3.679.000;null;-25%;?
Celular  HUAWEI Y5 2018 Café;$ 440.570;$ 359.900;null;-18%;
Celular Samsung A01 Negro;$ 599.900;$ 449.900;null;-25%;4
SmartBand Reloj Inteligente Smartwatch F...;$ 159.900;$ 94.900;null;-40%;4
SIM CARD PREPAGO VIRGIN MOBILE;null;$ 5.000;null;null;?
samsung S8+ G955FD 4+64G Plata;$ 2.512.679;$ 1.673.261;null;-33%;10
Código Spotify Premium 30.000 2 Meses Tv...;null;$ 49.900;null;null;11
Smartphone LG G6 - Blanco;null;$ 999.990;null;null;6
OPPO Realme 6 Versión Global 4GB 128GB 6...;$ 1.714.719;$ 1.182.559;null;-31%;11
Apple iPhone 6S(128GB)  Oro;$ 1.579.091;$ 1.162.010;null;-26%;?
Reloj Inteligente SmartWatch Tipo Gear 2...;$ 119.900;$ 54.900;null;-54%;
google pixel-3-128G  Negro;$ 3.217.810;$ 2.574.248;null;-20%;12
google pixel-3-128G  Blanco;$ 3.217.810;$ 2.574.248;null;-20%;12
Celular HUAWEI Y5p 32GB Azul + batería e...;null;$ 399.900;null;null;3
Teléfono celular Bmobile K401 Dorado;null;$ 75.546;null;null;4
Apple iPhone 6 (16GB);$ 1.172.807;$ 859.706;null;-26%;?
